,USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION,YEAR,MONTH,DAY,TIME,YEARMONTH,Flag,temp
0,鬼束月梵,米拉之家 巴特罗之家 言语无法形容的美 2西班牙·巴特罗之家 ​,2017年12月31日 22:47,评论 2, 5,西班牙·巴特罗之家,2017,12,31,22:47,201712,1,0.19298245614035087
1,派大坨的海绵宝宝,订票真是个累人的事情。好了，我的圣家堂，巴特罗之家还有桂尔公园。2018见 ​,2017年12月31日 22:46,评论 3, 2,,2017,12,31,22:46,201712,2,0.18181818181818182
4,现在不会梦见我们,#全民比心##冬天，你好##快乐冰雪季#【高迪的骨头房子】童话世界般的巴特罗之家位于西班牙巴塞罗那市，以造型怪异而闻名于世，建筑设计历史上经典之一。 真的很适合拍下来做明信片呢~ ​,2017年12月31日 15:16,评论 , 1,,2017,12,31,15:16,201712,131,0.8208092485549133
5,野马一匹,高迪展，现在来看就有点像我国建筑外面贴的一块块瓷砖…难道我们的瓷砖是从此找到的灵感楼上俯瞰奎尔公园，以及穿梭在巴特罗之家迷宫走廊，大师的艺术我现在还真欣赏不了 2上海·江边城外（大悦城店） ​,2017年12月31日 03:52,评论 , 2,上海·江边城外（大悦城店）,2017,12,31,03:52,201712,4,0.1797752808988764
6,三分糖乌龙奶茶,#30天小日常# 12.26巴塞罗那米拉之家，巴特罗之家 LMangoManggo的秒拍视频 ​,2017年12月31日 03:31,评论 , 3,,2017,12,31,03:31,201712,5,0.15384615384615385
8,世界上另一个AlbEe,#bye2017# 高迪展带回的白色烛台！诶老公真是个不懂浪漫的人儿，不过让我又多一处向往之地—-巴塞罗那圣家堂、米拉之家、巴特罗之家… 2上海·上海大悦城 ​,2017年12月30日 23:24,评论 1, ,上海·上海大悦城,2017,12,30,23:24,201712,7,0.1728395061728395
9,猫月在别处,被禁锢的向日葵🌻那抹金色和那宝石蓝的颜色简直美得让人心动。摄于西班牙巴塞罗那高迪建筑之巴特罗之家。#一日一片# ​,2017年12月30日 10:08,评论 , ,,2017,12,30,10:08,201712,8,0.2446043165467626
13,彤仔仔mireya,Barcelona.后会有期๓#午夜巴塞罗那##巴特罗之家##海鸥##鸽子##圣诞集市# ​,2017年12月30日 04:42,评论 1, 3,,2017,12,30,04:42,201712,11,0.125
17,巴特罗之家,🍾週末愉快！在龙之屋顶享用一杯香槟酒，感受夜幕降临，将巴塞罗那最奢华的夜景一网打尽。O网页链接#巴特罗之家##建筑# ​,2017年12月29日 19:23,评论 , 2,,2017,12,29,19:23,201712,13,0.14084507042253522
21,胡恩绮Heidi,巴萨罗纳的传奇-高迪：圣家堂、米拉之家、巴特罗之家。 2西班牙·巴塞罗那 ​,2017年12月29日 13:35,评论 2, 4,西班牙·巴塞罗那,2017,12,29,13:35,201712,15,0.26666666666666666
24,只有一个粉儿爷,好美的雪花啊❄️❄️最喜欢高迪的巴特罗公寓，简直太梦幻了2西班牙·巴特罗之家2西班牙·巴特罗之家 2西班牙 L請叫我粉小姐姐的秒拍视频 ​,2017年12月29日 01:10,评论 2, 3,西班牙·巴特罗之家西班牙·巴特罗之家西班牙,2017,12,29,01:10,201712,17,0.23841059602649006
25,巴特罗之家,寒冬最佳小礼物，来一双巴特罗之家的幸运物“小龙”拖鞋，萌萌的！温暖你的双脚～😍😍😍#西班牙巴塞罗那##巴特罗之家##圣诞节# ​,2017年12月28日 18:41,评论 , 2,,2017,12,28,18:41,201712,18,0.2054794520547945
28,Negritobeyourself,#Barcelona💛🇪🇸圣家族大教堂&巴特罗之家&米拉之家&奎尔公园&诺坎普 2西班牙·巴塞罗那 ​,2017年12月28日 07:11,评论 , 9,西班牙·巴塞罗那,2017,12,28,07:11,201712,20,0.21052631578947367
29,闲而言之,今天真是累了，起早贪黑欣赏了高迪的两处作品和毕加索博物馆。出超级艺术大师的城市，更适合慢下来细品。这还是：巴特罗之家Casa Batllo。 ​,2017年12月28日 06:47,评论 , ,,2017,12,28,06:47,201712,21,0.15584415584415584
