,USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION,YEAR,MONTH,DAY,TIME,YEARMONTH,Flag,temp
0,鬼束月梵,米拉之家 巴特罗之家 言语无法形容的美 2西班牙·巴特罗之家 ​,2017年12月31日 22:47,评论 2, 5,西班牙·巴特罗之家,2017,12,31,22:47,201712,1,0.06722689075630252
1,活力满满小仙女是我本人呀,米拉之家，巴洛特之家 真的是逆天了，高迪666 2西班牙·巴塞罗那 ​,2017年12月31日 15:16,评论 , 1,西班牙·巴塞罗那,2017,12,31,15:16,201712,2,0.06557377049180328
3,爱券米,这个叫Meera House(米拉之家)是由建筑师Guz设计，座落在新加坡圣淘沙岛(Sentosa)。每一个空间都是这么的绿色。这个家很生态，不知道住在里面的人们会是否有热带雨林的感受呢#刘昊然腿##爱券米# ​,2017年12月31日 09:24,评论 , ,,2017,12,31,09:24,201712,3,0.06217616580310881
4,霂未汐,懒得连微博都不想发，这张暂且看一下吧，出自于路人甲只手在米拉之家的楼顶拍的，巴塞罗那高迪的城市等我的风景图 2西班牙·马德里 ​,2017年12月31日 07:27,评论 , 5,西班牙·马德里,2017,12,31,07:27,201712,4,0.06622516556291391
6,三分糖乌龙奶茶,#30天小日常# 12.26巴塞罗那米拉之家，巴特罗之家 LMangoManggo的秒拍视频 ​,2017年12月31日 03:31,评论 , 3,,2017,12,31,03:31,201712,5,0.11851851851851852
9,世界上另一个AlbEe,#bye2017# 高迪展带回的白色烛台！诶老公真是个不懂浪漫的人儿，不过让我又多一处向往之地—-巴塞罗那圣家堂、米拉之家、巴特罗之家… 2上海·上海大悦城 ​,2017年12月30日 23:24,评论 1, ,上海·上海大悦城,2017,12,30,23:24,201712,6,0.09580838323353294
11,TinaZHANG是个好孩子,昨天是幸运的一天 这座城市的景色不需要滤镜 在青旅碰到一群小伙伴 米拉之家  高迪的又一杰作！ 2西班牙·巴塞罗那 ​,2017年12月30日 17:56,评论 11, 3,西班牙·巴塞罗那,2017,12,30,17:56,201712,7,0.0958904109589041
12,风山尧日,高迪的又一个著名的建筑设计代表作米拉之家（CASA MILà）。 2西班牙·巴塞罗那 ​,2017年12月30日 16:33,评论 4, 5,西班牙·巴塞罗那,2017,12,30,16:33,201712,8,0.12213740458015267
13,iiiwenwena,米拉之家很棒 好久没玩乐高 充满回忆 魔法喷泉 皇宫博物馆 还有很多 记不到了 血崩的一天 第一次逛街逛到崩溃 真的是崩溃 这个点我还没睡 巨困 但是还没洗漱 可能还有半个小时吧 ㊗️明天一路顺风 2西班牙·巴塞罗那 ​,2017年12月30日 08:01,评论 , ,西班牙·巴塞罗那,2017,12,30,08:01,201712,9,0.050761421319796954
14,是花花fafa呀,📍圣家族教堂📍巴特略之家、📍米拉之家📍古埃尔公园不能想象没有Gaudi神作的巴塞罗那该是怎样的孤独… 2西班牙·巴塞罗那 ​,2017年12月30日 07:04,评论 5, 12,西班牙·巴塞罗那,2017,12,30,07:04,201712,10,0.174496644295302
