,USER,CONTENT,DATE & TIME,COMMENTS,LIKES,LOCATION,YEAR,MONTH,DAY,TIME,YEARMONTH,Flag,temp
5,好摄的老贺,夕阳下的古埃尔公园，挑起巴塞罗那暧昧的衣角地点：每日美图：西班牙·巴塞罗那 ​,2017年12月31日 17:31,评论 4, 1,,2017,12,31,17:31,201712,1,0.2733812949640288
32,哥啾大王,d12 上午去古埃尔公园转了转 没赶上好时候 著名的平台正在维修 一大半都被围起来 且很多尘土 下午奔向超爱的巴特罗 之前一直以为 高迪重视形式多于功能 作品又童话又超现实 进去后才发现不是的..高迪十分重视功能呐 甚至连一个扶手一个门把手 材料 颜色 装饰 都有亲自好好把关 还有结构 也是非常严谨的 ​,2017年12月28日 03:03,评论 3, 2,,2017,12,28,03:03,201712,2,0.12648221343873517
35,Puddingkiwi,Parc Güell古埃尔公园糖果屋和大蜥蜴高迪的童心和少女心只是游客太多啦并没有好好看就走了 ​,2017年12月28日 01:25,评论 , 4,,2017,12,28,01:25,201712,3,0.20134228187919462
51,三分糖乌龙奶茶,#30天小日常# 12.24上古埃尔公园 LMangoManggo的秒拍视频 ​,2017年12月25日 07:33,评论 4, 5,,2017,12,25,07:33,201712,4,0.17142857142857143
53,全世界都是我的小猫咪,假装到过古埃尔公园（X酒店附近的商场竟然是这个主题的圣诞。 ​,2017年12月24日 23:45,评论 , 1,,2017,12,24,23:45,201712,5,0.0916030534351145
58,fancyooga,Wandering in Spain马德里有什么好逛的？没什么好逛的景点，建筑在欧洲也平淡无奇，幸亏还有地中海的舒适气候可以挽救。所以今天大多数是人像，简单讲，是我。第二次穿豹纹，还在找合适的表情和场景。山上的古埃尔公园不合适，有湖的丽池公园也施不开拳脚。后来我想明白了，暧昧红色的霓虹灯，大面积整齐的绿植，和城市，一定要现代城市，我只能想到美国 2西班牙·马德里 收起全文d,2017年12月24日 06:16,评论 , 5,西班牙·马德里,2017,12,24,06:16,201712,6,0.125
62,-袁蕴仪,建筑大法师高迪和他的童话王国：古埃尔公园。👸#老夫的少女心啊。🎀& 才刚刚对外开放，高迪设计生涯的起点：维森斯之家。满满的花砖，风格跟他其他的作品好不一样。 2西班牙·巴塞罗那 ​,2017年12月23日 22:35,评论 1, 1,西班牙·巴塞罗那,2017,12,23,22:35,201712,7,0.21052631578947367
66,改变生活丶冥土,#你好旧时光#kuku089【巴塞罗那】西班牙第二大城市巴塞罗那是著名的高迪之城，高迪在巴塞罗那留下了古埃尔公园、米拉之家、巴特洛之家、圣家族教堂等18件建筑杰作。巴塞罗那完美地将古代文明和现代文明结合起来，像是一座艺术殿堂；巴萨球队主球场就在这里，这里也是球迷们的圣地。 ​,2017年12月23日 14:12,评论 , ,,2017,12,23,14:12,201712,24,0.1092436974789916
67,美惠大子子,古埃尔公园。终于找了一家正宗的海鲜饭，还好没有奶制品之类的，米饭却是夹生的。 ​,2017年12月22日 05:37,评论 2, 2,,2017,12,22,05:37,201712,9,0.08571428571428572
69,七七的秘密花园,古埃尔公园⛲️ ​,2017年12月21日 23:13,评论 , ,,2017,12,21,23:13,201712,10,0.09174311926605505
82,喵莫愁,「 西班牙之旅·古埃尔公园 」着急去公园，来不及想文案了，对不起大家。 2西班牙·巴塞罗那 ​,2017年12月20日 22:02,评论 51, 108,西班牙·巴塞罗那,2017,12,20,22:02,201712,11,0.24489795918367346
87,飘小夢SSSSSueno,高迪粉对这次展有些失望虽然场地里大量运用了马赛克、展示了圣家族大教堂模型、也模仿了古埃尔公园；但始终感觉对高迪建筑精髓的展现浮于表面，反而是北座免费的展区介绍更值得一看 ​,2017年12月20日 11:08,评论 3, 2,,2017,12,20,11:08,201712,12,0.15053763440860216
88,潔726,【西班牙加泰罗尼亚建筑家高迪展品首现香港 | Modelos de obras de Gaudí se exponen en Hong Kong por primera vez】11月14日，香港一家商场展出西班牙“加泰罗尼亚现代主义”建筑师高迪的设计工具及建筑模型，其中包括巴塞罗那古埃尔公园的马赛克蝾螈、蛇形长椅、米拉之家屋顶和圣家族教堂模型等。此外，高迪展览博物馆及巴特罗之家还提供了两段高迪作品VR导览片段。据悉，该展览将持续到明年1月1日。 收起全文d,2017年12月20日 05:36,评论 , ,,2017,12,20,05:36,201712,13,0.10876132930513595
92,Maria-go-round,今天去了巴塞罗那云旅游。高迪尚未完工的圣家族大教堂，无论是外在还是内在都很震撼。还有他的后花园—古埃尔公园，美丽的园林与奇特建筑的结合。也是非常热情奔放了。♬我正在收听Ed Sheeran的单曲《Barcelona》♬KBarcelona ​,2017年12月19日 22:56,评论 , 1,,2017,12,19,22:56,201712,14,0.11764705882352941
95,三人纪实,这个由高迪设计出来的马赛克的世界（古埃尔公园）被联合国教科文组织认定为世界文化遗产，都来看看吧 #旅行新势力# #带着微博去旅行# ​,2017年12月19日 13:32,评论 , ,,2017,12,19,13:32,201712,15,0.09580838323353294
126,Mr-Alin,#城市建装# 全球最顶级建筑大师系列：                                                                              安东尼·高迪，西班牙建筑师，塑性建筑流派的代表人物，属于现代主义建筑风格。设计过很多作品，主要有古埃尔公园、米拉公寓、巴特罗公寓、圣家族教堂等。高迪一生的作品中，有17项被西班牙列为国家级文物，7项被联合国科教文组织列为世界文化遗产。作品-圣家族大教堂作品-米拉之家 收起全文d,2017年12月15日 10:36,评论 , 4,,2017,12,15,10:36,201712,16,0.06547619047619048
137,芝麻Tu小助手,高迪那些曾经可以算作失败的项目，如今也是游人如织了。古埃尔公园，高迪曾经试图把这里变成新型一个工人阶级社区，但那时这里离城里实在太远了，很不成功。但今天，改造成公园的它深受当地人和游客喜爱。是时候和西班牙说再见👋了。下次我们西班牙南部见。#带着微博去旅行# 请跟随#芝麻Tu#的脚步继续探索#西班牙# 好吃好喝好住好玩，还有美图#微博摄影大赛# 收起全文d,2017年12月14日 08:36,评论 , 1,,2017,12,14,08:36,201712,17,0.1079136690647482
143,skeymo,高迪的古埃尔公园有一种身处童话城堡的感觉有的人认为艺术家是疯子大概是从未了解过他们的内心世界吧 2西班牙·古埃尔公园 ​,2017年12月13日 19:11,评论 14, 196,西班牙·古埃尔公园,2017,12,13,19:11,201712,18,0.2
156,猴子夏天,你好像很好吃的样子。巴塞罗那梵高古埃尔公园。#环球旅行##西班牙巴塞罗那#2西班牙·巴塞罗那 ​,2017年12月12日 18:15,评论 2, 4,西班牙·巴塞罗那,2017,12,12,18:15,201712,19,0.21621621621621623
202,一只耗子熊,古埃尔公园 2西班牙·Parque Güell ​,2017年12月09日 00:09,评论 , 1,西班牙·Parque Güell,2017,12,09,00:09,201712,20,0.176
